investor_id,investor_name,investor_type,jurisdiction,tax_status,aum_usdm,typical_pe_allocation_pct,contact_name,contact_email,kyc_status,erisa_plan,preferred_feeder,relationship_manager
INV-0166,Yale College Investment Office,Endowment,USA,US Tax-Exempt,34742.0,10.9,Contact Person 166,contact166@investor166.com,Approved,No,Domestic,M. Patel
INV-0167,Seattle Fire & Police Pension Fund,Public Pension Fund,USA,US Tax-Exempt,197665.0,11.8,Contact Person 167,contact167@investor167.com,Approved,No,Domestic,S. Park
INV-0168,Duke College Investment Office,Endowment,USA,US Tax-Exempt,13148.0,17.7,Contact Person 168,contact168@investor168.com,Pending,No,Domestic,S. Park
INV-0169,Aetna Corporation Pension Plan,Corporate Pension,USA,US Tax-Exempt,46820.0,11.5,Contact Person 169,contact169@investor169.com,Pending,No,Domestic,T. Osei
INV-0170,Columbia University Endowment,Endowment,USA,US Tax-Exempt,25767.0,3.9,Contact Person 170,contact170@investor170.com,Pending,No,Domestic,M. Patel
INV-0171,Bloomberg Endowed Foundation,Foundation,USA,US Tax-Exempt,7324.0,5.3,Contact Person 171,contact171@investor171.com,Approved,No,Domestic,J. Williams
INV-0172,Government Pension Fund — Saudi Arabia,Sovereign Wealth Fund,Abu Dhabi,Foreign Government,83932.0,7.9,Contact Person 172,contact172@investor172.com,Pending,No,Offshore,M. Patel
INV-0173,MIT Foundation Investment Fund,Endowment,USA,US Tax-Exempt,41440.0,9.7,Contact Person 173,contact173@investor173.com,Approved,No,Domestic,M. Patel
INV-0174,Mars Charitable Foundation,Foundation,USA,US Tax-Exempt,9236.0,5.3,Contact Person 174,contact174@investor174.com,Approved,No,Domestic,R. Chen
INV-0175,Cornell University Endowment,Endowment,USA,US Tax-Exempt,44763.0,9.7,Contact Person 175,contact175@investor175.com,Approved,No,Domestic,M. Patel
INV-0176,Australia Reserve Investment Corporation,Sovereign Wealth Fund,Canada,Foreign Government,417385.0,9.3,Contact Person 176,contact176@investor176.com,Approved,No,Offshore,R. Chen
INV-0177,Carnegie Family Office,Family Office,Cayman Islands,Taxable,9755.0,11.2,Contact Person 177,contact177@investor177.com,Pending,No,Offshore,S. Park
INV-0178,Goldman Investments,Asset Manager / Bank,USA,Taxable,294834.0,10.5,Contact Person 178,contact178@investor178.com,Pending,No,Domestic,S. Park
INV-0179,Columbia University Endowment,Endowment,USA,US Tax-Exempt,25589.0,5.3,Contact Person 179,contact179@investor179.com,Approved,No,Domestic,M. Patel
INV-0180,Government Pension Fund — Australia (180),Sovereign Wealth Fund,Kuwait,Foreign Government,332619.0,9.0,Contact Person 180,contact180@investor180.com,Approved,No,Offshore,M. Patel
INV-0181,MIT University Endowment,Endowment,USA,US Tax-Exempt,28346.0,6.5,Contact Person 181,contact181@investor181.com,Pending,No,Domestic,T. Osei
INV-0182,Johns Hopkins Foundation Investment Fund,Endowment,USA,US Tax-Exempt,36362.0,16.9,Contact Person 182,contact182@investor182.com,Approved,No,Domestic,T. Osei
INV-0183,Ohio State Teachers' Retirement System,Public Pension Fund,USA,US Tax-Exempt,185182.0,6.4,Contact Person 183,contact183@investor183.com,Approved,No,Domestic,S. Park
INV-0184,Houston Teachers' Pension Fund,Public Pension Fund,USA,US Tax-Exempt,52279.0,4.7,Contact Person 184,contact184@investor184.com,Approved,No,Domestic,A. Mensah
INV-0185,JPMorgan Assurance plc,Insurance Company,France,Taxable,289710.0,14.1,Contact Person 185,contact185@investor185.com,Approved,No,Offshore,T. Osei
INV-0186,South Korea Investment Authority,Sovereign Wealth Fund,Canada,Foreign Government,117096.0,10.1,Contact Person 186,contact186@investor186.com,Approved,No,Offshore,A. Mensah
INV-0187,Hartford Inc. Retirement Trust,Corporate Pension,USA,US Tax-Exempt,10943.0,8.1,Contact Person 187,contact187@investor187.com,Approved,No,Domestic,T. Osei
INV-0188,Dartmouth Foundation Investment Fund,Endowment,USA,US Tax-Exempt,26692.0,16.7,Contact Person 188,contact188@investor188.com,Approved,No,Domestic,S. Park
INV-0189,Fidelity Re Investment Portfolio,Insurance Company,UK,Taxable,14084.0,13.4,Contact Person 189,contact189@investor189.com,Pending,No,Offshore,R. Chen
INV-0190,Columbia University Endowment,Endowment,USA,US Tax-Exempt,33794.0,18.9,Contact Person 190,contact190@investor190.com,Approved,No,Domestic,T. Osei
INV-0191,Government Pension Fund — South Korea,Sovereign Wealth Fund,Saudi Arabia,Foreign Government,250246.0,14.1,Contact Person 191,contact191@investor191.com,Approved,No,Offshore,A. Mensah
INV-0192,Koch Private Wealth Management,Family Office,Luxembourg,Taxable,3614.0,18.6,Contact Person 192,contact192@investor192.com,Approved,No,Offshore,T. Osei
INV-0193,Johnson Capital Partners,Family Office,Luxembourg,Taxable,9825.0,12.3,Contact Person 193,contact193@investor193.com,Pending,No,Offshore,M. Patel
INV-0194,MetLife Investments,Asset Manager / Bank,Luxembourg,Taxable,346564.0,15.0,Contact Person 194,contact194@investor194.com,Approved,No,Offshore,M. Patel
INV-0195,Dallas Teachers' Pension Fund,Public Pension Fund,USA,US Tax-Exempt,44421.0,17.5,Contact Person 195,contact195@investor195.com,Pending,Yes,Domestic,J. Williams
INV-0196,San Diego Teachers' Pension Fund,Public Pension Fund,USA,US Tax-Exempt,22734.0,5.2,Contact Person 196,contact196@investor196.com,Pending,No,Domestic,M. Patel
INV-0197,Minnesota Municipal Employees Pension Fund,Public Pension Fund,USA,US Tax-Exempt,162348.0,16.9,Contact Person 197,contact197@investor197.com,Approved,Yes,Domestic,A. Mensah
INV-0198,Yale Foundation Investment Fund,Endowment,USA,US Tax-Exempt,27517.0,7.9,Contact Person 198,contact198@investor198.com,Approved,No,Domestic,S. Park
INV-0199,Lincoln Annuity and Life,Insurance Company,France,Taxable,297928.0,4.4,Contact Person 199,contact199@investor199.com,Approved,No,Offshore,J. Williams
INV-0200,Fidelity Asset Management (200),Asset Manager / Bank,USA,Taxable,496566.0,15.9,Contact Person 200,contact200@investor200.com,Approved,No,Domestic,R. Chen
