fee_id,fund_id,fund_name,period,accrual_date,payment_date,fee_base_usd,fee_rate_pct,fee_amount_usd,currency,fee_basis,status
FEE-0172,FUND-AGE-I,AMC Growth Equity I,Q4 2023,2023-12-31,2024-01-05,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0173,FUND-AGE-I,AMC Growth Equity I,Q1 2024,2024-03-31,2024-04-05,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0174,FUND-AGE-I,AMC Growth Equity I,Q2 2024,2024-06-30,2024-07-05,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0175,FUND-AGE-I,AMC Growth Equity I,Q3 2024,2024-09-30,2024-10-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0176,FUND-AGE-I,AMC Growth Equity I,Q4 2024,2024-12-31,2025-01-07,4250000000.0,2.0,21250000.0,USD,Committed Capital,Paid
FEE-0177,FUND-AGE-I,AMC Growth Equity I,Q1 2025,2025-03-31,2025-04-07,2762500000.0,2.0,13812500.0,USD,Invested Capital,Paid
FEE-0178,FUND-AGE-I,AMC Growth Equity I,Q2 2025,2025-06-30,2025-07-07,2762500000.0,2.0,13812500.0,USD,Invested Capital,Paid
FEE-0179,FUND-AGE-I,AMC Growth Equity I,Q3 2025,2025-09-30,2025-10-07,2762500000.0,2.0,13812500.0,USD,Invested Capital,Paid
FEE-0180,FUND-AGE-I,AMC Growth Equity I,Q4 2025,2025-12-31,2026-01-07,2762500000.0,2.0,13812500.0,USD,Invested Capital,Paid
FEE-0181,FUND-AGE-I,AMC Growth Equity I,Q1 2026,2026-03-31,2026-04-07,2762500000.0,2.0,13812500.0,USD,Invested Capital,Paid
FEE-0182,FUND-AGE-I,AMC Growth Equity I,Q2 2026,2026-06-30,2026-07-07,2762500000.0,2.0,13812500.0,USD,Invested Capital,Paid
FEE-0183,FUND-AGE-II,AMC Growth Equity II,Q1 2022,2022-03-31,2022-04-07,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0184,FUND-AGE-II,AMC Growth Equity II,Q2 2022,2022-06-30,2022-07-07,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0185,FUND-AGE-II,AMC Growth Equity II,Q3 2022,2022-09-30,2022-10-07,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0186,FUND-AGE-II,AMC Growth Equity II,Q4 2022,2022-12-31,2023-01-06,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0187,FUND-AGE-II,AMC Growth Equity II,Q1 2023,2023-03-31,2023-04-07,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0188,FUND-AGE-II,AMC Growth Equity II,Q2 2023,2023-06-30,2023-07-07,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0189,FUND-AGE-II,AMC Growth Equity II,Q3 2023,2023-09-30,2023-10-06,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0190,FUND-AGE-II,AMC Growth Equity II,Q4 2023,2023-12-31,2024-01-05,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0191,FUND-AGE-II,AMC Growth Equity II,Q1 2024,2024-03-31,2024-04-05,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0192,FUND-AGE-II,AMC Growth Equity II,Q2 2024,2024-06-30,2024-07-05,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0193,FUND-AGE-II,AMC Growth Equity II,Q3 2024,2024-09-30,2024-10-07,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0194,FUND-AGE-II,AMC Growth Equity II,Q4 2024,2024-12-31,2025-01-07,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0195,FUND-AGE-II,AMC Growth Equity II,Q1 2025,2025-03-31,2025-04-07,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0196,FUND-AGE-II,AMC Growth Equity II,Q2 2025,2025-06-30,2025-07-07,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0197,FUND-AGE-II,AMC Growth Equity II,Q3 2025,2025-09-30,2025-10-07,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0198,FUND-AGE-II,AMC Growth Equity II,Q4 2025,2025-12-31,2026-01-07,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0199,FUND-AGE-II,AMC Growth Equity II,Q1 2026,2026-03-31,2026-04-07,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
FEE-0200,FUND-AGE-II,AMC Growth Equity II,Q2 2026,2026-06-30,2026-07-07,5950000000.0,2.0,29750000.0,USD,Committed Capital,Paid
