valuation_id,company_id,company_name,fund_id,investment_date,cost_usd,valuation_date,currency,fair_value_usd,unrealized_gain_loss_usd,moic,status,exit_date,exit_proceeds_usd
PI-0174,PC-011,FastGrowth E-Commerce Ltd,FUND-AGE-I,2019-09-30,85000000.0,2020-06-30,USD,105873000.0,20873000.0,1.246,Active,2022-12-31,210000000.0
PI-0175,PC-011,FastGrowth E-Commerce Ltd,FUND-AGE-I,2019-09-30,85000000.0,2020-09-30,USD,113607000.0,28607000.0,1.337,Active,2022-12-31,210000000.0
PI-0176,PC-011,FastGrowth E-Commerce Ltd,FUND-AGE-I,2019-09-30,85000000.0,2020-12-31,USD,112091000.0,27091000.0,1.319,Active,2022-12-31,210000000.0
PI-0177,PC-011,FastGrowth E-Commerce Ltd,FUND-AGE-I,2019-09-30,85000000.0,2021-03-31,USD,109128000.0,24128000.0,1.284,Active,2022-12-31,210000000.0
PI-0178,PC-011,FastGrowth E-Commerce Ltd,FUND-AGE-I,2019-09-30,85000000.0,2021-06-30,USD,111348000.0,26348000.0,1.31,Active,2022-12-31,210000000.0
PI-0179,PC-011,FastGrowth E-Commerce Ltd,FUND-AGE-I,2019-09-30,85000000.0,2021-09-30,USD,113497000.0,28497000.0,1.335,Active,2022-12-31,210000000.0
PI-0180,PC-011,FastGrowth E-Commerce Ltd,FUND-AGE-I,2019-09-30,85000000.0,2021-12-31,USD,116378000.0,31378000.0,1.369,Active,2022-12-31,210000000.0
PI-0181,PC-011,FastGrowth E-Commerce Ltd,FUND-AGE-I,2019-09-30,85000000.0,2022-03-31,USD,123602000.0,38602000.0,1.454,Active,2022-12-31,210000000.0
PI-0182,PC-011,FastGrowth E-Commerce Ltd,FUND-AGE-I,2019-09-30,85000000.0,2022-06-30,USD,130310000.0,45310000.0,1.533,Active,2022-12-31,210000000.0
PI-0183,PC-011,FastGrowth E-Commerce Ltd,FUND-AGE-I,2019-09-30,85000000.0,2022-09-30,USD,143052000.0,58052000.0,1.683,Active,2022-12-31,210000000.0
PI-0184,PC-011,FastGrowth E-Commerce Ltd,FUND-AGE-I,2019-09-30,85000000.0,2022-12-31,USD,210000000.0,125000000.0,1.639,Realized,2022-12-31,210000000.0
PI-0185,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2022-06-30,USD,142291000.0,2291000.0,1.016,Active,,
PI-0186,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2022-09-30,USD,143359000.0,3359000.0,1.024,Active,,
PI-0187,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2022-12-31,USD,154919000.0,14919000.0,1.107,Active,,
PI-0188,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2023-03-31,USD,154115000.0,14115000.0,1.101,Active,,
PI-0189,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2023-06-30,USD,152054000.0,12054000.0,1.086,Active,,
PI-0190,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2023-09-30,USD,155522000.0,15522000.0,1.111,Active,,
PI-0191,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2023-12-31,USD,158487000.0,18487000.0,1.132,Active,,
PI-0192,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2024-03-31,USD,158328000.0,18328000.0,1.131,Active,,
PI-0193,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2024-06-30,USD,157532000.0,17532000.0,1.125,Active,,
PI-0194,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2024-09-30,USD,171593000.0,31593000.0,1.226,Active,,
PI-0195,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2024-12-31,USD,175375000.0,35375000.0,1.253,Active,,
PI-0196,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2025-03-31,USD,189508000.0,49508000.0,1.354,Active,,
PI-0197,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2025-06-30,USD,196528000.0,56528000.0,1.404,Active,,
PI-0198,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2025-09-30,USD,190059000.0,50059000.0,1.358,Active,,
PI-0199,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2025-12-31,USD,209046000.0,69046000.0,1.493,Active,,
PI-0200,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2026-03-31,USD,225152000.0,85152000.0,1.608,Active,,
PI-0201,PC-012,Apex Healthcare SaaS,FUND-AGE-II,2022-06-30,140000000.0,2026-06-30,USD,246690000.0,106690000.0,1.762,Active,,
